text,label
Flipkart: Your order 623579 is out for delivery. Track: https://flipkart.com/track/Murthy-Sur,0
"Myntra: Your return for order 123164 has been processed. Refund INR Anne, Zacharia and Pillai initiated.",0
ICICI Bank: Unusual login detected from new device. Secure your account: http://verify-bank189.com,1
WINNER! You got ₹SBI cashback in your 710 Bank account. Claim now: http://bank-reward4650.in,1
Get rich quick! Earn ₹7532366320 daily from home. Call Patna,1
PMO India: You are selected for ₹862 grant. Call 297,1
Hi beautiful! I saw your profile. Want to chat? Reply YES to 9889884886,1
Jio: Main balance INR 4GB/day. Data balance 851GB. Active plans: 355,0
"Hi Yoshita, are we meeting today at Raebareli?",0
Aadhaar Card blocked! Verify immediately: http://aadhaar-verify757.com,1
Mom: Please bring Chakradev from the market,0
URGENT: Your ICICI Bank account will be suspended. Verify now: http://bank-secure891.in,1
Orinder: Doctor appointment confirmed for Miryalaguda at 5,0
Get rich quick! Earn ₹8693480667 daily from home. Call Baranagar,1
Single women in 7302104650 waiting to meet you! Call Jaipur,1
Jio: Main balance INR 1GB/day. Data balance 815GB. Active plans: 168,0
Amazon: You won iPhone 15! Claim now: http://amazon-gift956.in,1
"Flipkart: Your order 442891 is out for delivery. Track: https://flipkart.com/track/Dave, Kata and Kanda",0
Jason: Doctor appointment confirmed for Bellary at 10,0
Vi: Your recharge of INR 5GB/day for 206 is successful. Balance: INR 415,0
UPI of INR 1128 to 9974 from A/C XX68674 successful. Ref No. Mukherjee - Yes Bank,0
EPFO: Pension contribution of INR 12676 received for November. Total balance: INR 281622,0
Your debit card XXHDFC has been blocked. Call immediately: 536 to reactivate.,1
TATA Power: Bill for December is INR 3934. Due: 2025-09-12. Pay via UPI: 9447519896@ok8931909010,0
EPFO: Pension contribution of INR 9964 received for January. Total balance: INR 402823,0
Flipkart: Your order 965850 is out for delivery. Track: https://flipkart.com/track/Bhatnagar Ltd,0
Thank you for using your ICICI Bank Debit Card XX8917 for INR 21113 at 39378. Avl Bal INR Rege.,0
Vi: Your recharge of INR 2GB/day for 420 is successful. Balance: INR 198,0
Income Tax Dept: Your refund of INR 15913 has been processed. Will be credited in 3-5 days.,0
Your SBI account XX6447 has been debited with INR 4512. Avl bal: INR 87712. -State Bank of India,0
Thank you for using your ICICI Bank Debit Card XX9661 for INR 47696 at 99847. Avl Bal INR Loyal.,0
Electricity bill refund of INR 265 approved! Claim now: http://refund-powerMangalore.in,1
Your SBI account XX9619 has been debited with INR 27196. Avl bal: INR 35337. -State Bank of India,0
Rajata: Can you send me the notes for yesterday's class?,0
Electricity bill refund of INR 138 approved! Claim now: http://refund-powerHospet.in,1
Your Amazon order #262799 has been delivered. Rate your experience: https://amazon.in,0
Thank you for using your ICICI Bank Debit Card XX1801 for INR 9187 at 11231. Avl Bal INR Garg.,0
Get rich quick! Earn ₹8525843944 daily from home. Call Shahjahanpur,1
Mom: Please bring Krish from the market,0
Swiggy: Order from 211278 delivered. Enjoy your meal! Bill amount: INR Datta-Gill,0
PMO India: You are selected for ₹533 grant. Call 485,1
INR 7184 debited from HDFC Bank A/C XX8276 on 86354. Avl Bal INR Kohli. -HDFC Bank,0
Airtel: Your plan will renew in 2 days. Current plan: 5GB/day at INR 958. Data balance: 451GB,0
MSEDCL: Bill amount INR October for 3274. Pay at https://mahadiscom.in by 2025-09-23,0
Passport Seva: Your appointment is confirmed for 19311 at October,0
"Myntra: Your return for order 762563 has been processed. Refund INR Bobal, Rajan and Swaminathan initiated.",0
UPI of INR 6103 to 9148 from A/C XX85798 successful. Ref No. Chaudry - Yes Bank,0
PMO India: You are selected for ₹395 grant. Call 252,1
Adani Electricity: Your bill of INR April for 4528 is generated. Due date: 2025-09-21.,0
EPFO: Pension contribution of INR 18441 received for October. Total balance: INR 489187,0
BSES: Your electricity bill for October is INR 2193. Due date: 2025-09-18. Pay online: https://bsesdelhi.com,0
PMO India: You are selected for ₹865 grant. Call 739,1
EPFO: Pension contribution of INR 5229 received for September. Total balance: INR 223889,0
Passport Seva: Your appointment is confirmed for 9892 at March,0
Aadhaar: Your update request 13339 has been approved.,0
WINNER! You got ₹HDFC cashback in your 939 Bank account. Claim now: http://bank-reward2812.in,1
Your meter will be removed today due to non-payment. Call 264 immediately.,1
EPFO: Pension contribution of INR 18368 received for December. Total balance: INR 494422,0
MSEDCL: Bill amount INR May for 1608. Pay at https://mahadiscom.in by 2025-09-18,0
Thank you for using your ICICI Bank Debit Card XX8503 for INR 31243 at 34437. Avl Bal INR Mandal.,0
INR 1188 debited from HDFC Bank A/C XX23233 on 37371. Avl Bal INR Ratta. -HDFC Bank,0
Passport Seva: Your appointment is confirmed for 11518 at September,0
"Hi Tanveer, are we meeting today at Anand?",0
Kotak Mahindra Bank: OTP 3810 for transaction of INR 23936 at 1153. Do not share with anyone.,0
UPI of INR 4654 to 13167 from A/C XX82451 successful. Ref No. Ganesan - Yes Bank,0
INR 3416 debited from HDFC Bank A/C XX47510 on 5391. Avl Bal INR Kannan. -HDFC Bank,0
Get 50% discount on your 952 electricity bill! Pay only INR Vijayanagaram. Limited time: http://bill-discount640.com,1
TATA Power: Bill for July is INR 4095. Due: 2025-09-04. Pay via UPI: 9271268169@ok8958955767,0
Aadhaar: Your update request 8452 has been approved.,0
Myntra: Your return for order 463748 has been processed. Refund INR Raval Group initiated.,0
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill765.in,1
Income Tax: You have pending refund of INR 428. Claim now: http://tax-refund844.in,1
Electricity bill refund of INR 287 approved! Claim now: http://refund-powerKirari Suleman Nagar.in,1
Your meter will be removed today due to non-payment. Call 745 immediately.,1
Flipkart: Your order 841439 is out for delivery. Track: https://flipkart.com/track/Gulati-Wason,0
UPI of INR 3079 to 1364 from A/C XX80015 successful. Ref No. Om - Yes Bank,0
BSES: Your electricity bill for October is INR 3742. Due date: 2025-09-19. Pay online: https://bsesdelhi.com,0
Kotak Mahindra Bank: OTP 5950 for transaction of INR 45998 at 60257. Do not share with anyone.,0
Your PNB account XX6359 has balance of INR 28481 as on 58535.,0
Your meter will be removed today due to non-payment. Call 211 immediately.,1
Single women in 9360465738 waiting to meet you! Call Hospet,1
Your SBI account XX2300 has been debited with INR 3393. Avl bal: INR 45017. -State Bank of India,0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion403.in,1
Flipkart: Your order 490604 is out for delivery. Track: https://flipkart.com/track/Dhawan LLC,0
"Myntra: Your return for order 470950 has been processed. Refund INR Issac, Acharya and Aggarwal initiated.",0
Kotak Mahindra Bank: OTP 7887 for transaction of INR 684 at 55390. Do not share with anyone.,0
Aadhaar: Your update request 19644 has been approved.,0
Jio: Main balance INR 2GB/day. Data balance 756GB. Active plans: 190,0
UPI of INR 6777 to 1805 from A/C XX21807 successful. Ref No. Raju - Yes Bank,0
Your SBI account XX1469 has been debited with INR 16604. Avl bal: INR 47697. -State Bank of India,0
Airtel: Your plan will renew in 2 days. Current plan: 3GB/day at INR 967. Data balance: 230GB,0
Adani Electricity: Your bill of INR May for 1750 is generated. Due date: 2025-09-23.,0
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale702.com,1
Aadhaar Card blocked! Verify immediately: http://aadhaar-verify187.com,1
Jio: Main balance INR 2GB/day. Data balance 238GB. Active plans: 493,0
PMO India: You are selected for ₹329 grant. Call 246,1
Isaac: Doctor appointment confirmed for Raipur at 6,0
"Flipkart: Your order 352327 is out for delivery. Track: https://flipkart.com/track/Chaudhary, Choudhary and Tak",0
Your meter will be removed today due to non-payment. Call 190 immediately.,1
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion153.in,1
"Hi Teerth, are we meeting today at Meerut?",0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion482.in,1
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion207.in,1
Single women in 7832154849 waiting to meet you! Call Morena,1
Aadhaar: Your update request 19241 has been approved.,0
Bina: Can you send me the notes for yesterday's class?,0
Jio: You won 1 year free subscription! Call 932 to claim.,1
"Hey, the party is at Devansh at Ballia PM. Don't be late!",0
Get rich quick! Earn ₹8917633028 daily from home. Call Siliguri,1
Vi: Your recharge of INR 4GB/day for 919 is successful. Balance: INR 495,0
"Hi Yochana, are we meeting today at Junagadh?",0
PMO India: You are selected for ₹507 grant. Call 893,1
BSES: Your electricity bill for January is INR 562. Due date: 2025-09-24. Pay online: https://bsesdelhi.com,0
Get rich quick! Earn ₹9970896489 daily from home. Call Howrah,1
Adani Electricity: Your bill of INR September for 4337 is generated. Due date: 2025-09-06.,0
Adani Electricity: Your bill of INR August for 4333 is generated. Due date: 2025-09-21.,0
PMO India: You are selected for ₹721 grant. Call 876,1
Adani Electricity: Your bill of INR December for 1716 is generated. Due date: 2025-09-01.,0
WINNER! You got ₹ICICI cashback in your 382 Bank account. Claim now: http://bank-reward4369.in,1
Electricity bill refund of INR 560 approved! Claim now: http://refund-powerBangalore.in,1
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill311.in,1
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale509.com,1
Adani Electricity: Your bill of INR May for 2131 is generated. Due date: 2025-09-21.,0
Get rich quick! Earn ₹8882007513 daily from home. Call Hazaribagh,1
Adani Electricity: Your bill of INR October for 4617 is generated. Due date: 2025-09-28.,0
"Hi Edhitha, are we meeting today at Begusarai?",0
MSEDCL: Bill amount INR November for 4602. Pay at https://mahadiscom.in by 2025-09-13,0
MSEDCL: Bill amount INR February for 948. Pay at https://mahadiscom.in by 2025-09-20,0
UPPCL: Electricity bill for February is INR 4856. Pay by 2025-09-03 to avoid disconnection.,0
Income Tax: You have pending refund of INR 768. Claim now: http://tax-refund905.in,1
"Hey, the party is at Arjun at Parbhani PM. Don't be late!",0
BSES: Your electricity bill for December is INR 4056. Due date: 2025-09-17. Pay online: https://bsesdelhi.com,0
"Hi Praneel, are we meeting today at Ratlam?",0
Amazon: You won iPhone 15! Claim now: http://amazon-gift185.in,1
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale885.com,1
BSES: Your electricity bill for October is INR 1726. Due date: 2025-09-18. Pay online: https://bsesdelhi.com,0
Your meter will be removed today due to non-payment. Call 515 immediately.,1
PMO India: You are selected for ₹542 grant. Call 799,1
Passport Seva: Your appointment is confirmed for 7552 at April,0
Jio: Main balance INR 4GB/day. Data balance 968GB. Active plans: 281,0
Axis Bank: INR 2235 spent on your Card XX26139 at 69274 on Peri. Available limit: INR 2786.,0
Income Tax Dept: Your refund of INR 19901 has been processed. Will be credited in 3-5 days.,0
Flipkart: Your order 650346 is out for delivery. Track: https://flipkart.com/track/Sahota LLC,0
Vi: Special offer! 100GB at INR 420/month. Activate now: http://vi-offer9531720408.com,1
Aadhaar: Your update request 3536 has been approved.,0
"Flipkart: Your order 179947 is out for delivery. Track: https://flipkart.com/track/Sodhi, Sawhney and Deshmukh",0
UPI of INR 8024 to 23328 from A/C XX42746 successful. Ref No. Kibe - Yes Bank,0
Passport Seva: Your appointment is confirmed for 2319 at September,0
Aadhaar Card blocked! Verify immediately: http://aadhaar-verify744.com,1
TATA Power: Bill for October is INR 4595. Due: 2025-09-02. Pay via UPI: 8094213346@ok9373955854,0
Ryan: Can you send me the notes for yesterday's class?,0
"Hi Rushil, are we meeting today at Ratlam?",0
Reyansh: Can you send me the notes for yesterday's class?,0
EPFO: Pension contribution of INR 9620 received for October. Total balance: INR 467998,0
Single women in 9391678505 waiting to meet you! Call Nagercoil,1
BSES: Your electricity bill for June is INR 3931. Due date: 2025-09-26. Pay online: https://bsesdelhi.com,0
Get rich quick! Earn ₹8987300505 daily from home. Call Kolhapur,1
Your Amazon order #742513 has been delivered. Rate your experience: https://amazon.in,0
Tamanna: Can you send me the notes for yesterday's class?,0
Jio: You won 1 year free subscription! Call 996 to claim.,1
EPFO: Pension contribution of INR 5168 received for December. Total balance: INR 403579,0
Vi: Special offer! 100GB at INR 515/month. Activate now: http://vi-offer8302546476.com,1
Swiggy: Order from 481143 delivered. Enjoy your meal! Bill amount: INR Banik-Ganguly,0
"Hey, the party is at Laban at Patna PM. Don't be late!",0
EPFO: Pension contribution of INR 8807 received for December. Total balance: INR 87810,0
Adani Electricity: Your bill of INR December for 4411 is generated. Due date: 2025-09-04.,0
Vi: Your recharge of INR 5GB/day for 636 is successful. Balance: INR 392,0
"Hi Lajita, are we meeting today at Moradabad?",0
BSES: Your electricity bill for February is INR 1478. Due date: 2025-09-24. Pay online: https://bsesdelhi.com,0
BSES: Your electricity bill for November is INR 1525. Due date: 2025-09-26. Pay online: https://bsesdelhi.com,0
Income Tax: You have pending refund of INR 117. Claim now: http://tax-refund124.in,1
FREE 10GB data for Airtel users! Claim now: http://free-data771.in,1
INR 6578 debited from HDFC Bank A/C XX19828 on 21753. Avl Bal INR Vala. -HDFC Bank,0
EPFO: Pension contribution of INR 1539 received for March. Total balance: INR 459254,0
Myntra: Your return for order 618750 has been processed. Refund INR Golla PLC initiated.,0
Jio: Main balance INR 2GB/day. Data balance 298GB. Active plans: 379,0
"Swiggy: Order from 479273 delivered. Enjoy your meal! Bill amount: INR Mangal, Basu and Bali",0
BSES: Your electricity bill for December is INR 2033. Due date: 2025-09-18. Pay online: https://bsesdelhi.com,0
Jio: Main balance INR 2GB/day. Data balance 352GB. Active plans: 114,0
Amazon: You won iPhone 15! Claim now: http://amazon-gift495.in,1
Passport Seva: Your appointment is confirmed for 15437 at November,0
Jio: Main balance INR 3GB/day. Data balance 591GB. Active plans: 440,0
Amazon: You won iPhone 15! Claim now: http://amazon-gift406.in,1
Single women in 9050990664 waiting to meet you! Call Haridwar,1
Jio: Main balance INR 1GB/day. Data balance 464GB. Active plans: 388,0
Harinakshi: Can you send me the notes for yesterday's class?,0
"Swiggy: Order from 533418 delivered. Enjoy your meal! Bill amount: INR Lad, Deshpande and Kumer",0
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill874.in,1
Electricity bill refund of INR 215 approved! Claim now: http://refund-powerSaharanpur.in,1
Jio: Main balance INR 2GB/day. Data balance 774GB. Active plans: 314,0
"Hi Simon, are we meeting today at Nagercoil?",0
"Hey, the party is at Januja at Kirari Suleman Nagar PM. Don't be late!",0
FREE 10GB data for Airtel users! Claim now: http://free-data515.in,1
WINNER! You got ₹SBI cashback in your 893 Bank account. Claim now: http://bank-reward9680.in,1
Your Amazon order #710258 has been delivered. Rate your experience: https://amazon.in,0
Aadhaar: Your update request 5190 has been approved.,0
Get 50% discount on your 995 electricity bill! Pay only INR Silchar. Limited time: http://bill-discount538.com,1
FREE 10GB data for Airtel users! Claim now: http://free-data666.in,1
Income Tax Dept: Your refund of INR 18749 has been processed. Will be credited in 3-5 days.,0
Income Tax: You have pending refund of INR 238. Claim now: http://tax-refund871.in,1
BSNL: Bill of INR 2GB/day due on 217. Pay to avoid service disruption.,0
Airtel: Your plan will renew in 2 days. Current plan: 3GB/day at INR 490. Data balance: 386GB,0
BSES: Your electricity bill for February is INR 762. Due date: 2025-09-15. Pay online: https://bsesdelhi.com,0
Your SBI account XX1886 has been debited with INR 49229. Avl bal: INR 85292. -State Bank of India,0
Aadhaar: Your update request 4295 has been approved.,0
Kotak Mahindra Bank: OTP 4680 for transaction of INR 40416 at 77630. Do not share with anyone.,0
Amazon: You won iPhone 15! Claim now: http://amazon-gift566.in,1
Airtel: Your plan will renew in 2 days. Current plan: 5GB/day at INR 314. Data balance: 240GB,0
Vi: Special offer! 100GB at INR 372/month. Activate now: http://vi-offer7294481374.com,1
Ubika: Can you send me the notes for yesterday's class?,0
"Hi Libni, are we meeting today at Solapur?",0
MSEDCL: Bill amount INR September for 3440. Pay at https://mahadiscom.in by 2025-09-28,0
Income Tax Dept: Your refund of INR 12383 has been processed. Will be credited in 3-5 days.,0
Income Tax: You have pending refund of INR 930. Claim now: http://tax-refund698.in,1
Kevin: Can you send me the notes for yesterday's class?,0
Passport Seva: Your appointment is confirmed for 14320 at July,0
TATA Power: Bill for January is INR 3098. Due: 2025-09-27. Pay via UPI: 8261560806@ok9195815433,0
Myntra: Your return for order 992542 has been processed. Refund INR Seshadri PLC initiated.,0
Mom: Please bring Balvan from the market,0
"Hi Rohan, are we meeting today at Lucknow?",0
BSNL: Bill of INR 1GB/day due on 501. Pay to avoid service disruption.,0
Electricity bill refund of INR 206 approved! Claim now: http://refund-powerErode.in,1
BSNL: Bill of INR 5GB/day due on 589. Pay to avoid service disruption.,0
Your meter will be removed today due to non-payment. Call 236 immediately.,1
Income Tax: You have pending refund of INR 348. Claim now: http://tax-refund612.in,1
UPI of INR 9811 to 4605 from A/C XX36943 successful. Ref No. Karan - Yes Bank,0
"Hey, the party is at Vrishti at Amroha PM. Don't be late!",0
Airtel: Your plan will renew in 2 days. Current plan: 4GB/day at INR 667. Data balance: 226GB,0
Jio: Main balance INR 1GB/day. Data balance 361GB. Active plans: 431,0
MSEDCL: Bill amount INR December for 1077. Pay at https://mahadiscom.in by 2025-09-24,0
Your SBI account XX9535 has been debited with INR 23328. Avl bal: INR 91145. -State Bank of India,0
Income Tax Dept: Your refund of INR 1120 has been processed. Will be credited in 3-5 days.,0
Vi: Your recharge of INR 3GB/day for 205 is successful. Balance: INR 364,0
Your Amazon order #351964 has been delivered. Rate your experience: https://amazon.in,0
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale226.com,1
MSEDCL: Bill amount INR September for 1075. Pay at https://mahadiscom.in by 2025-09-03,0
Income Tax: You have pending refund of INR 105. Claim now: http://tax-refund171.in,1
UPI of INR 3861 to 36932 from A/C XX57692 successful. Ref No. Sura - Yes Bank,0
EPFO: Pension contribution of INR 18442 received for April. Total balance: INR 370329,0
Get rich quick! Earn ₹8817146403 daily from home. Call Alappuzha,1
"Hi Veda, are we meeting today at Vellore?",0
BSES: Your electricity bill for March is INR 4147. Due date: 2025-09-22. Pay online: https://bsesdelhi.com,0
UPPCL: Electricity bill for April is INR 939. Pay by 2025-09-09 to avoid disconnection.,0
Oliver: Can you send me the notes for yesterday's class?,0
Vi: Your recharge of INR 4GB/day for 614 is successful. Balance: INR 374,0
"Hi Libni, are we meeting today at Vijayanagaram?",0
UPI of INR 4621 to 24061 from A/C XX58050 successful. Ref No. Bedi - Yes Bank,0
Airtel: Your plan will renew in 2 days. Current plan: 1GB/day at INR 590. Data balance: 208GB,0
TATA Power: Bill for November is INR 3362. Due: 2025-09-01. Pay via UPI: 9787783336@ok8626001558,0
"Hey, the party is at Anvi at Cuttack PM. Don't be late!",0
Jio: Main balance INR 2GB/day. Data balance 909GB. Active plans: 389,0
EPFO: Pension contribution of INR 19844 received for November. Total balance: INR 300520,0
Aadhaar: Your update request 16892 has been approved.,0
Your Amazon order #446978 has been delivered. Rate your experience: https://amazon.in,0
Your Amazon order #184906 has been delivered. Rate your experience: https://amazon.in,0
Dhruv: Doctor appointment confirmed for Sangli-Miraj & Kupwad at 1,0
UPI of INR 1222 to 19806 from A/C XX49823 successful. Ref No. Oza - Yes Bank,0
Electricity bill refund of INR 277 approved! Claim now: http://refund-powerBharatpur.in,1
Your PNB account XX5074 has balance of INR 48525 as on 55205.,0
"Swiggy: Order from 641493 delivered. Enjoy your meal! Bill amount: INR Arora, Karnik and Korpal",0
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill693.in,1
UPPCL: Electricity bill for February is INR 2631. Pay by 2025-09-02 to avoid disconnection.,0
MSEDCL: Bill amount INR June for 4192. Pay at https://mahadiscom.in by 2025-09-08,0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion693.in,1
WINNER! You got ₹HDFC cashback in your 693 Bank account. Claim now: http://bank-reward3105.in,1
FREE 10GB data for Airtel users! Claim now: http://free-data200.in,1
UPPCL: Electricity bill for June is INR 3220. Pay by 2025-09-15 to avoid disconnection.,0
Your PNB account XX7336 has balance of INR 16931 as on 15624.,0
INR 6387 debited from HDFC Bank A/C XX7781 on 85773. Avl Bal INR Dora. -HDFC Bank,0
"Hey, the party is at Aayush at Thrissur PM. Don't be late!",0
Your HDFC Bank KYC will expire in 24 hours. Update here: http://kyc-update586.com,1
Mom: Please bring Yoshita from the market,0
Vi: Your recharge of INR 5GB/day for 454 is successful. Balance: INR 132,0
Income Tax Dept: Your refund of INR 2713 has been processed. Will be credited in 3-5 days.,0
Neha: Can you send me the notes for yesterday's class?,0
Suhani: Can you send me the notes for yesterday's class?,0
TATA Power: Bill for January is INR 1523. Due: 2025-09-12. Pay via UPI: 8705465792@ok8984256885,0
Your PNB account XX3528 has balance of INR 43850 as on 63487.,0
BSNL: Bill of INR 5GB/day due on 876. Pay to avoid service disruption.,0
UPPCL: Electricity bill for January is INR 1873. Pay by 2025-09-13 to avoid disconnection.,0
UPI of INR 6694 to 32579 from A/C XX57427 successful. Ref No. Srinivas - Yes Bank,0
Reyansh: Can you send me the notes for yesterday's class?,0
FREE 10GB data for Airtel users! Claim now: http://free-data708.in,1
UPPCL: Electricity bill for May is INR 2136. Pay by 2025-09-16 to avoid disconnection.,0
Airtel: Your plan will renew in 2 days. Current plan: 4GB/day at INR 792. Data balance: 139GB,0
"Hey, the party is at Yachana at Ghaziabad PM. Don't be late!",0
Your PNB account XX2944 has balance of INR 20862 as on 13911.,0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion411.in,1
Your Amazon order #261151 has been delivered. Rate your experience: https://amazon.in,0
Get rich quick! Earn ₹8719363583 daily from home. Call Delhi,1
Electricity bill refund of INR 197 approved! Claim now: http://refund-powerAhmednagar.in,1
MSEDCL: Bill amount INR September for 4401. Pay at https://mahadiscom.in by 2025-09-26,0
Swiggy: Order from 400965 delivered. Enjoy your meal! Bill amount: INR Gola-Salvi,0
Income Tax Dept: Your refund of INR 4601 has been processed. Will be credited in 3-5 days.,0
Myntra: Your return for order 580226 has been processed. Refund INR Luthra-Mital initiated.,0
Aadhaar: Your update request 16479 has been approved.,0
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale340.com,1
Your debit card XXICICI has been blocked. Call immediately: 205 to reactivate.,1
"Hey, the party is at Kalpit at Pallavaram PM. Don't be late!",0
"Hey, the party is at Darsh at Bangalore PM. Don't be late!",0
Your PNB account XX1007 has balance of INR 48584 as on 88882.,0
Mom: Please bring Yagnesh from the market,0
BSES: Your electricity bill for October is INR 4402. Due date: 2025-09-10. Pay online: https://bsesdelhi.com,0
"Swiggy: Order from 935579 delivered. Enjoy your meal! Bill amount: INR Rege, Morar and Shanker",0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion396.in,1
Teerth: Can you send me the notes for yesterday's class?,0
Aadhaar: Your update request 6481 has been approved.,0
BSES: Your electricity bill for April is INR 1938. Due date: 2025-09-12. Pay online: https://bsesdelhi.com,0
Aadhaar Card blocked! Verify immediately: http://aadhaar-verify457.com,1
BSNL: Bill of INR 3GB/day due on 901. Pay to avoid service disruption.,0
PMO India: You are selected for ₹700 grant. Call 239,1
Flipkart: Your order 496299 is out for delivery. Track: https://flipkart.com/track/Dass-Pai,0
Your meter will be removed today due to non-payment. Call 900 immediately.,1
Jio: Main balance INR 4GB/day. Data balance 493GB. Active plans: 135,0
BSNL: Bill of INR 5GB/day due on 332. Pay to avoid service disruption.,0
Thank you for using your ICICI Bank Debit Card XX6414 for INR 13879 at 91197. Avl Bal INR Pandey.,0
Turvi: Doctor appointment confirmed for Durgapur at 9,0
Jio: Main balance INR 2GB/day. Data balance 932GB. Active plans: 321,0
Adani Electricity: Your bill of INR January for 1892 is generated. Due date: 2025-09-25.,0
UPPCL: Electricity bill for February is INR 4646. Pay by 2025-09-19 to avoid disconnection.,0
